Spine File,OldChordDistribution,OpenAngle,CVD,AverageDistance,LengthVolumeRatio,LengthAreaRatio,JunctionArea,Length,Area,Volume,ConvexHullVolume,ConvexHullRatio
0.025 0.025 0.1 dataset\1005-3\spine_2.off,"[3.46062608 5.37699428 4.28159449 3.69319503 3.05595609 2.95827713
 2.46057956 2.60244663 2.24196474 2.04893251 2.2070794  2.22568492
 2.23731336 2.2512675  2.37452905 2.52802456 2.35127215 2.5861668
 2.29080422 2.2745244  2.01172148 1.88613424 1.82334062 1.71868459
 1.65821666 1.59774873 1.47448719 1.39308805 1.28378064 1.34889995
 1.28610633 1.19307875 1.02330341 1.0698172  0.95585841 0.97911531
 0.90004186 0.84887669 0.87678497 0.84422531 0.779106   0.78143169
 0.71166101 0.75352342 0.7349179  0.54421136 0.58374808 0.6232848
 0.57211963 0.58374808 0.57211963 0.50700033 0.60467929 0.58142239
 0.53723429 0.4465324  0.46048653 0.4232755  0.43955533 0.34652775
 0.35117912 0.38606447 0.28838551 0.35350481 0.35350481 0.29303689
 0.25582585 0.26512861 0.23954603 0.26512861 0.24652309 0.22094051
 0.22791758 0.20931206 0.20233499 0.18372948 0.25582585 0.14884413
 0.15814689 0.17442672 0.17210103 0.16977534 0.12558724 0.13721568
 0.11628448 0.15814689 0.11628448 0.10465603 0.09070189 0.10000465
 0.07209638 0.05814224 0.067445   0.04186241 0.03255965 0.0441881
 0.01627983 0.01395414 0.00930276 0.00697707]",1.0033182022923233,0.4426431797579561,1.2607678179894055,1.9598612337112595,0.2555689937075927,0.430789042887577,2.3068693850669844,8.595616514377992,1.1770575106986625,1.548176520196336,0.3152938629798894
0.025 0.025 0.1 dataset\3_full_res (5)\spine_1.off,"[6.49986703e+00 8.21514050e+00 5.95470260e+00 4.76464852e+00
 3.18455811e+00 2.51307508e+00 2.32027303e+00 1.91693999e+00
 1.65987058e+00 1.55792926e+00 1.67759950e+00 1.62219661e+00
 1.55349703e+00 1.79062140e+00 1.76402801e+00 1.76846024e+00
 1.98120734e+00 1.99007180e+00 2.10530981e+00 2.06985196e+00
 2.11417428e+00 1.90807553e+00 1.74851520e+00 1.55128091e+00
 1.39615282e+00 1.30307597e+00 1.33853382e+00 1.20113465e+00
 1.14351565e+00 1.08368052e+00 1.06595160e+00 9.81739208e-01
 1.02606152e+00 9.26336318e-01 9.41849127e-01 8.86446237e-01
 8.73149543e-01 8.53204503e-01 8.06666076e-01 8.17746654e-01
 8.08882191e-01 7.00292527e-01 7.51263186e-01 6.69266909e-01
 6.36025175e-01 6.55970215e-01 5.67325592e-01 5.56245014e-01
 6.20512366e-01 6.18296250e-01 6.00567326e-01 5.82838401e-01
 6.13864019e-01 5.91702863e-01 5.71757823e-01 5.42948320e-01
 5.09706586e-01 5.29651627e-01 4.63168159e-01 4.43223119e-01
 4.83113199e-01 4.09981385e-01 4.01116922e-01 4.07765269e-01
 3.76739651e-01 3.43497917e-01 3.05823952e-01 3.36849570e-01
 3.19120645e-01 3.61226842e-01 3.03607836e-01 2.79230565e-01
 2.50421062e-01 2.19395444e-01 2.28259906e-01 2.01666519e-01
 2.03882635e-01 1.90585941e-01 1.86153710e-01 1.37399167e-01
 1.26318589e-01 1.48479745e-01 1.21886358e-01 1.10805780e-01
 1.08589664e-01 8.42123925e-02 8.64285081e-02 5.76190054e-02
 7.75640457e-02 3.54578495e-02 4.87545430e-02 3.76739651e-02
 3.32417339e-02 2.21611559e-02 8.86446237e-03 8.86446237e-03
 6.64834678e-03 8.86446237e-03 4.43223119e-03 6.64834678e-03]",0.9706800456063814,0.7072932818732325,1.1047795683380346,2.5475794194570924,0.3377901965063418,1.337458772893823,2.85131857033212,7.10363454426699,1.119226567994397,1.2720285809830905,0.136524647786469
0.025 0.025 0.1 dataset\3_full_res (2)\spine_5.off,"[2.41503554 4.01937871 3.81001071 3.18190671 3.06018113 2.67309378
 2.70717694 2.47589833 2.13993573 2.13506671 2.10098354 2.43207713
 2.07907294 2.07907294 2.26653033 2.4905054  2.48563638 2.44911871
 2.34200019 2.2592268  2.10341805 1.96221638 1.79423508 1.57269452
 1.62138475 1.62868829 1.45340345 1.36332652 1.37306456 1.32680884
 1.2975947  1.27324959 1.26107703 1.3803681  1.1929107  1.15395852
 1.11500633 1.10039926 0.95432856 0.89590028 0.8569481  0.8788587
 0.89590028 0.91050735 0.89590028 0.83260298 0.69383582 0.72548447
 0.68653228 0.70113935 0.60862791 0.63297303 0.57697926 0.53072354
 0.52585451 0.51368196 0.55019963 0.51611647 0.51368196 0.48933684
 0.42603954 0.45768819 0.47229526 0.39439089 0.34813516 0.3554387
 0.37248028 0.35787321 0.27753433 0.27023079 0.32622456 0.23858214
 0.26049275 0.22640958 0.22154056 0.24832019 0.21180251 0.20449898
 0.15337423 0.12172558 0.15337423 0.104684   0.10711851 0.11442205
 0.11685656 0.08033888 0.04625572 0.08033888 0.06816633 0.03895219
 0.02921414 0.03651767 0.03408316 0.02434512 0.01217256 0.01217256
 0.01460707 0.00730353 0.00730353 0.00486902]",0.9555387165491188,0.3675001142529422,0.992544676426359,2.891318592520785,0.2993290174468939,2.005332399124053,1.6884104677102558,3.6353184208714007,0.583958638137564,0.7177657622240846,0.2291380165439037
0.025 0.025 0.1 dataset\1005-1\spine_4.off,"[6.00812754e+00 8.21506721e+00 6.80629363e+00 4.87235594e+00
 3.49067417e+00 2.98426592e+00 2.63624049e+00 2.62790455e+00
 2.14442013e+00 2.01104512e+00 2.02146504e+00 1.94227363e+00
 1.95894550e+00 1.82348651e+00 1.83599041e+00 1.70469939e+00
 1.67760759e+00 1.69844743e+00 1.62759196e+00 1.68385954e+00
 1.49838491e+00 1.42961342e+00 1.44211733e+00 1.29623841e+00
 1.34833802e+00 1.18161926e+00 1.10451183e+00 1.05866417e+00
 1.13577160e+00 1.12118370e+00 9.96144629e-01 9.37793060e-01
 9.02365322e-01 9.46128999e-01 8.54433677e-01 8.66937585e-01
 8.16921955e-01 7.91914140e-01 8.37761801e-01 7.83578202e-01
 7.60654371e-01 7.39814525e-01 5.93935605e-01 6.68959050e-01
 6.89798895e-01 6.27279358e-01 7.06470772e-01 6.06439512e-01
 6.18943420e-01 5.85599667e-01 5.10576222e-01 5.39752006e-01
 5.25164114e-01 5.14744191e-01 5.35584037e-01 4.75148484e-01
 5.48087944e-01 4.85568407e-01 5.60591852e-01 3.85537147e-01
 4.56392623e-01 4.37636761e-01 4.33468792e-01 4.18880900e-01
 3.75117224e-01 3.62613317e-01 3.66781286e-01 3.83453162e-01
 3.37605502e-01 3.29269563e-01 3.12597687e-01 2.93841826e-01
 2.39658227e-01 2.73001980e-01 2.43826196e-01 2.54246119e-01
 2.16734396e-01 1.97978535e-01 1.81306658e-01 1.75054705e-01
 1.25039075e-01 1.22955090e-01 1.06283214e-01 8.96113369e-02
 8.54433677e-02 6.66875065e-02 7.91914140e-02 5.20996145e-02
 3.75117224e-02 3.12597687e-02 1.45878920e-02 3.12597687e-02
 1.66718766e-02 1.87558612e-02 1.04199229e-02 1.25039075e-02
 0.00000000e+00 0.00000000e+00 2.08398458e-03 8.33593831e-03]",0.9670721818158632,0.6088947113585037,1.0010608802045011,3.8737239569512383,0.3685428955865035,0.918329813160289,2.241276666326584,5.163124186271146,0.5785845071135503,0.8054474416523839,0.3920999123716782
0.025 0.025 0.1 dataset\1006-1\spine_2.off,"[1.45733349 1.9987124  1.68851691 1.53927192 1.48367084 1.47196535
 1.56560927 1.66803231 1.82313005 1.77923446 2.16258925 2.23867494
 2.33524523 2.56642866 2.82394943 2.8268758  2.68640993 2.27671778
 2.2211167  2.16258925 1.9665223  2.06894534 1.85532015 1.95189044
 1.75874985 1.74119162 1.70607515 1.60657849 1.48659721 1.4778181
 1.48367084 1.45440712 1.46611261 1.44855437 1.41636427 1.3285731
 1.23785555 1.27004565 1.19688634 1.19981271 1.18518085 1.20859183
 1.12080066 1.05056772 1.01252487 0.97155566 0.93643919 0.99204027
 0.90132272 0.90132272 0.86620625 0.87498537 0.86035351 0.722814
 0.71988763 0.73451949 0.64087557 0.69355028 0.66136018 0.62917008
 0.61746459 0.54723165 0.62917008 0.51211518 0.51504155 0.49455695
 0.49163057 0.47407234 0.36872293 0.42432401 0.43895587 0.39798666
 0.30434274 0.40091303 0.38335479 0.26044715 0.28385813 0.30726911
 0.24581529 0.24581529 0.22240431 0.21655156 0.20777245 0.19606696
 0.16680323 0.18436147 0.10534941 0.14631862 0.09949666 0.07608568
 0.0526747  0.08193843 0.05560108 0.07315931 0.06730657 0.02926372
 0.02341098 0.02633735 0.02926372 0.01463186]",1.1269394809282756,0.543100199583922,1.1094294979517485,4.481683737539352,0.4798713580138405,0.0,2.2807769471194272,4.752892434671304,0.5089107310306723,0.5506162812805567,0.0819506206234248
0.025 0.025 0.1 dataset\1009-2\spine_3.off,"[4.73287613e+00 9.12920159e+00 7.38506477e+00 5.92879519e+00
 3.96452460e+00 3.03953941e+00 2.38972145e+00 2.22038777e+00
 1.80552028e+00 1.50918635e+00 1.61290323e+00 1.43933621e+00
 1.59385319e+00 1.56633647e+00 1.64676996e+00 1.55998645e+00
 1.78858691e+00 1.79282025e+00 1.65523664e+00 1.89653713e+00
 1.73567014e+00 1.86055372e+00 1.60020320e+00 1.57903649e+00
 1.46473626e+00 1.28481924e+00 1.21920244e+00 1.20015240e+00
 1.16628567e+00 1.10913555e+00 9.73668614e-01 1.07315215e+00
 1.01600203e+00 8.74185082e-01 9.56735247e-01 9.60968589e-01
 8.97468462e-01 9.46151892e-01 8.40318347e-01 8.33968335e-01
 7.78934891e-01 6.83684701e-01 6.77334688e-01 7.40834815e-01
 6.77334688e-01 6.56167979e-01 6.83684701e-01 6.09601219e-01
 5.90551181e-01 6.54051308e-01 5.52451105e-01 6.01134536e-01
 5.27051054e-01 4.88950978e-01 5.08001016e-01 5.41867750e-01
 4.76250953e-01 4.38150876e-01 4.86834307e-01 4.21217509e-01
 4.38150876e-01 4.02167471e-01 3.30200660e-01 3.59834053e-01
 3.61950724e-01 3.34434002e-01 3.04800610e-01 2.43417154e-01
 2.79400559e-01 2.11667090e-01 2.37067141e-01 1.92617052e-01
 1.92617052e-01 1.94733723e-01 1.71450343e-01 1.88383710e-01
 1.60866988e-01 1.50283634e-01 1.39700279e-01 9.94835323e-02
 1.31233596e-01 1.18533570e-01 1.22766912e-01 8.25501651e-02
 8.46668360e-02 5.92667852e-02 6.77334688e-02 5.71501143e-02
 4.23334180e-02 3.59834053e-02 3.38667344e-02 3.81000762e-02
 3.17500635e-02 1.05833545e-02 1.27000254e-02 2.11667090e-03
 1.05833545e-02 8.46668360e-03 8.46668360e-03 4.23334180e-03]",0.7597508160818799,0.7146103395323459,0.4613820841902317,12.36557746447894,0.7049908049435896,0.0609968280040754,1.1830778254731251,1.617149634583887,0.0956750971696717,0.1146941584033369,0.1987880001829162
0.025 0.025 0.1 dataset\3_full_res (6)\spine_0.off,"[5.73250931 8.85230964 6.55851359 5.22541795 4.12804057 3.53379288
 2.8464464  2.62261311 2.3670866  2.34331669 2.36312495 2.2660645
 2.06996276 2.08382854 2.00657634 1.93328579 1.72133745 1.5311782
 1.64804691 1.5391015  1.40638618 1.36478884 1.16274463 1.11520482
 1.24792013 1.03795262 1.03993344 0.91910308 0.9904128  0.92108391
 0.80025355 0.83788923 0.82996593 0.82402345 0.73884795 0.76657951
 0.68140401 0.72300135 0.6655574  0.67149988 0.75469456 0.66357658
 0.63584502 0.62197924 0.61207511 0.62594089 0.60415181 0.53482291
 0.54868869 0.60811346 0.54076539 0.56057365 0.56849695 0.53680374
 0.46153237 0.45162824 0.44370494 0.46351319 0.38824182 0.42785833
 0.3941843  0.4179542  0.35060613 0.36843356 0.34664448 0.32287457
 0.26939228 0.27533476 0.29316219 0.32089375 0.27137311 0.27731559
 0.26344981 0.21789082 0.22977577 0.24364155 0.15648522 0.19808256
 0.14856192 0.14856192 0.12479201 0.10696458 0.10696458 0.12677284
 0.08121385 0.09706045 0.08715633 0.08319468 0.0930988  0.05744394
 0.05546312 0.05546312 0.05942477 0.04159734 0.03565486 0.03169321
 0.01782743 0.02376991 0.0158466  0.01386578]",1.0153176976935427,0.4000480672839393,1.3814347741097597,2.162590600143834,0.2297509243885876,1.1800140043986225,2.3009879989714985,8.835127414922669,1.0639961159631692,1.3369324031740704,0.2565200033308664
0.025 0.025 0.1 dataset\3_full_res (1)\spine_4.off,"[5.76838494e+00 7.67505278e+00 5.55506685e+00 4.34773047e+00
 3.62200915e+00 3.41528853e+00 2.59500352e+00 2.44546094e+00
 2.44546094e+00 2.20795215e+00 2.26952850e+00 2.30691414e+00
 2.12658339e+00 2.03421886e+00 2.31131246e+00 1.89567206e+00
 1.86268473e+00 1.68235398e+00 1.60318438e+00 1.38546798e+00
 1.51521816e+00 1.36347643e+00 1.41405700e+00 1.31729416e+00
 1.18314567e+00 1.18754398e+00 1.18094652e+00 1.04899719e+00
 1.05339550e+00 9.87420830e-01 1.03800141e+00 8.88458832e-01
 9.19247009e-01 9.41238564e-01 8.07090077e-01 9.03852920e-01
 9.14848698e-01 7.89496833e-01 8.46674877e-01 8.40077410e-01
 7.80700211e-01 7.82899367e-01 6.77339901e-01 7.36717101e-01
 6.46551724e-01 5.98170303e-01 6.46551724e-01 6.28958480e-01
 6.42153413e-01 6.31157635e-01 6.20161858e-01 5.29996481e-01
 4.68420127e-01 5.36593948e-01 4.94809993e-01 5.05805771e-01
 4.79415904e-01 4.66220971e-01 4.42030260e-01 4.55225194e-01
 4.55225194e-01 4.81615060e-01 4.13441239e-01 3.49665728e-01
 3.58462350e-01 3.82653061e-01 3.32072484e-01 3.34271640e-01
 2.92487685e-01 3.14479240e-01 2.74894441e-01 2.59500352e-01
 2.99085151e-01 2.19915552e-01 2.37508797e-01 2.26513019e-01
 2.17716397e-01 1.97923997e-01 2.19915552e-01 1.80330753e-01
 1.53940887e-01 1.69334975e-01 1.73733286e-01 1.78131597e-01
 1.29750176e-01 1.47343420e-01 9.67628431e-02 7.47712878e-02
 7.03729768e-02 9.67628431e-02 5.49788881e-02 3.95847994e-02
 3.29873329e-02 1.31949331e-02 3.29873329e-02 2.19915552e-03
 8.79662210e-03 6.59746657e-03 2.19915552e-03 2.19915552e-03]",1.1088673275665284,0.6931752731318707,1.424191418774712,3.421711219655713,0.3571510085485868,2.038620424078323,3.281434679809203,7.149186977458937,0.959003980511066,1.2587215008468402,0.3125300065762509
0.025 0.025 0.1 dataset\1006-1\spine_1.off,"[6.67679838e+00 9.34312732e+00 7.65113137e+00 5.62478892e+00
 5.00506586e+00 4.21816954e+00 3.37892604e+00 3.45829112e+00
 2.85376562e+00 2.91117866e+00 2.67814927e+00 2.45525160e+00
 2.37419791e+00 2.14285714e+00 2.09557582e+00 1.86423506e+00
 1.61938534e+00 1.62107396e+00 1.63964877e+00 1.37622425e+00
 1.31036812e+00 1.22087133e+00 1.15332658e+00 1.10942249e+00
 1.02161432e+00 9.89530564e-01 9.10165485e-01 8.59506923e-01
 8.64572779e-01 7.31171901e-01 6.92333671e-01 7.09219858e-01
 6.12968592e-01 6.67004390e-01 7.09219858e-01 6.61938534e-01
 6.75447484e-01 5.96082405e-01 5.55555556e-01 5.58932793e-01
 5.38669368e-01 4.76190476e-01 5.31914894e-01 5.58932793e-01
 4.50861196e-01 4.40729483e-01 4.88010807e-01 4.50861196e-01
 3.85005066e-01 3.91759541e-01 4.05268490e-01 3.30969267e-01
 3.27592030e-01 4.10334347e-01 3.47855454e-01 3.47855454e-01
 3.34346505e-01 3.34346505e-01 3.71496116e-01 2.90442418e-01
 2.81999325e-01 3.42789598e-01 3.51232692e-01 2.80310706e-01
 2.98885512e-01 2.71867612e-01 2.33029382e-01 2.06011483e-01
 2.02634245e-01 1.84059439e-01 1.67173252e-01 1.28335022e-01
 1.36778116e-01 1.19891928e-01 1.11448835e-01 1.03005741e-01
 9.11854103e-02 8.44309355e-02 6.58561297e-02 8.10536981e-02
 4.39040865e-02 3.54609929e-02 4.05268490e-02 4.22154677e-02
 4.55927052e-02 3.88382303e-02 2.87065181e-02 2.87065181e-02
 2.36406619e-02 2.87065181e-02 3.88382303e-02 1.01317123e-02
 1.18203310e-02 1.18203310e-02 5.06585613e-03 3.37723742e-03
 1.68861871e-03 5.06585613e-03 0.00000000e+00 3.37723742e-03]",1.1192132802831425,0.5521680924602823,1.4132061233739854,2.6301787855403544,0.2388617645782855,3.6469755873952776,2.866803696648745,8.354960769853587,1.0899653333108978,1.907856562611745,0.7503827913649385
0.025 0.025 0.1 dataset\1009-3\spine_2.off,"[3.65164850e+00 5.28700906e+00 4.64337318e+00 4.54485748e+00
 3.95814178e+00 3.53342966e+00 3.17220544e+00 3.05179736e+00
 2.81098122e+00 2.86571216e+00 3.01676956e+00 2.75625027e+00
 2.78689960e+00 2.70589781e+00 2.55702964e+00 2.36218749e+00
 2.13669600e+00 2.13012829e+00 1.86523053e+00 1.81706730e+00
 1.72511931e+00 1.66819913e+00 1.55435877e+00 1.50400631e+00
 1.42300451e+00 1.40330137e+00 1.42081527e+00 1.21940540e+00
 1.34857043e+00 1.17999912e+00 1.15372827e+00 1.17780989e+00
 1.02018477e+00 8.95398222e-01 9.34804501e-01 8.97587460e-01
 8.80073558e-01 8.03450239e-01 8.01261001e-01 7.44340821e-01
 7.44340821e-01 7.83747099e-01 7.59665484e-01 6.48014361e-01
 6.74285214e-01 6.39257411e-01 6.61149788e-01 6.12986558e-01
 5.16660099e-01 5.25417050e-01 4.53172205e-01 4.81632296e-01
 4.81632296e-01 4.18144402e-01 4.20333640e-01 3.83116599e-01
 3.61224222e-01 3.65602697e-01 3.26196418e-01 3.32764132e-01
 3.41521082e-01 3.24007181e-01 2.62708525e-01 2.53951574e-01
 2.38626910e-01 2.40816148e-01 2.38626910e-01 2.01409869e-01
 2.25491484e-01 1.57625115e-01 1.88274443e-01 1.44489689e-01
 1.24786549e-01 1.59814353e-01 9.63264591e-02 8.97587460e-02
 7.66233198e-02 5.91094181e-02 5.25417050e-02 4.81632296e-02
 5.91094181e-02 5.03524673e-02 5.03524673e-02 5.47309427e-02
 5.25417050e-02 3.72170410e-02 2.40816148e-02 2.18923771e-02
 2.62708525e-02 1.75139017e-02 1.53246640e-02 1.75139017e-02
 1.09461885e-02 1.09461885e-02 4.37847541e-03 8.75695083e-03
 2.18923771e-03 6.56771312e-03 2.18923771e-03 4.37847541e-03]",0.8850040540483626,0.4634383296831425,0.8760744657879144,6.666611166259855,0.4529939978090908,0.8836611122495726,1.729149534589656,2.9334966049667743,0.2593745894977334,0.4088863710688663,0.5764318773888195
